run_timestamp,city,slug,date,day_of_week,total_booked_hours
2026-01-16T08:24:48,southchandleraz,southchandleraz,2026-01-16,Friday,10.5
2026-01-16T08:24:48,gilbertaz,gilbertaz,2026-01-16,Friday,34.5
2026-01-16T08:24:48,glendaleaz,glendaleaz,2026-01-16,Friday,40.5
2026-01-16T08:24:48,goodyear-az,goodyear-az,2026-01-16,Friday,0.0
2026-01-16T08:24:48,mesa-az-east,mesa-az-east,2026-01-16,Friday,5.0
2026-01-16T08:24:48,paradise-valley-az,paradise-valley-az,2026-01-16,Friday,0.0
2026-01-16T08:24:48,glendale-az-peoria,glendale-az-peoria,2026-01-16,Friday,15.0
2026-01-16T08:24:48,scottsdaleaz,scottsdaleaz,2026-01-16,Friday,45.5
2026-01-16T08:24:48,scottsdale-az-north,scottsdale-az-north,2026-01-16,Friday,0.0
2026-01-16T08:24:48,surpriseaz,surpriseaz,2026-01-16,Friday,12.5
2026-01-16T08:24:48,talkingstickaz,talkingstickaz,2026-01-16,Friday,0.0
2026-01-16T08:24:48,tempeaz,tempeaz,2026-01-16,Friday,5.0
2026-01-16T08:24:48,carlsbadca,carlsbadca,2026-01-16,Friday,14.5
2026-01-16T08:24:48,rancho-mirage-ca,rancho-mirage-ca,2026-01-16,Friday,0.0
2026-01-16T08:24:48,fort-collins-timnath-co,fort-collins-timnath-co,2026-01-16,Friday,0.0
2026-01-16T08:24:48,invernessco,invernessco,2026-01-16,Friday,25.0
2026-01-16T08:24:48,littleton-co,littleton-co,2026-01-16,Friday,18.0
2026-01-16T08:24:48,loveland-co-johnstown,loveland-co-johnstown,2026-01-16,Friday,0.0
2026-01-16T08:24:48,colorado-springs-northgate,colorado-springs-northgate,2026-01-16,Friday,32.0
2026-01-16T08:24:48,pueblowestco,pueblowestco,2026-01-16,Friday,36.5
2026-01-16T08:24:48,wilmingtonde,wilmingtonde,2026-01-16,Friday,45.0
