slug,number_of_bays,average_hours_perbay,avg_daily_max_hours,avg_mon_max_hours,avg_tue_max_hours,avg_wed_max_hours,avg_thu_max_hours,avg_fri_max_hours,avg_sat_max_hours,avg_sun_max_hours
scottsdale-az-north,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
scottsdaleaz,,,43.66,44.0,41.75,38.75,47.3,47.0,48.0,37.88
shenandoah-tx,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
sherman-tx,,,25.93,23.25,23.38,26.5,22.12,28.38,31.5,26.38
sherwoodor,,,34.48,24.38,27.88,34.25,35.5,37.62,41.75,39.75
shreveport-la-south,,,29.07,26.12,23.5,29.5,30.4,33.12,33.25,27.25
sioux-falls-sd-south,,,42.88,40.0,42.5,37.62,36.3,44.75,53.62,47.0
southborough-ma,,,56.0,45.12,52.25,56.38,59.1,60.0,64.38,54.0
southchandleraz,,,20.55,19.88,25.38,23.0,22.8,19.62,18.5,14.12
southsummerlinnv,,,31.21,33.12,32.38,31.88,31.2,28.88,34.62,26.38
southwestaustintx,,,22.16,20.88,21.38,20.75,18.88,22.25,31.5,19.5
spanishforkut,,,32.43,28.75,29.25,31.0,31.38,31.62,41.75,33.25
spartanburgsc,,,47.38,41.0,45.38,45.62,47.7,50.25,63.5,38.12
spring-hill-fl,,,26.55,26.62,20.88,32.38,26.2,25.25,28.0,26.62
spring-hill-tn-north,,,35.64,33.88,31.0,36.12,39.0,39.5,40.38,29.62
spring-tx,,,11.57,14.12,6.38,9.5,4.62,7.75,23.25,15.38
st-augustine-fl,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
st-george-ut-river-rd,,,22.57,21.5,20.38,20.5,22.38,25.12,27.75,20.38
st-george-ut-sunset,,,13.46,11.75,12.88,12.5,16.75,15.88,16.38,8.12
st-louis-crestwood-mo,,,28.24,29.88,25.12,23.62,27.5,28.12,37.62,26.0
stgeorgeut,,,14.0,16.12,11.75,15.25,14.88,14.75,17.75,7.5
summerlinlasvegasnv,,,29.19,30.0,26.38,33.62,32.2,26.0,32.75,22.62
surpriseaz,,,16.71,14.12,8.88,10.12,19.7,23.38,19.12,20.88
suwanee-ga,,,0.0,,,,0.0,0.0,,
talkingstickaz,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
tempeaz,,,14.17,11.38,15.38,14.38,15.0,13.12,16.25,13.5
toms-river-nj,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
towson-baltimore-md,,,25.17,19.62,19.38,26.75,29.9,32.0,23.0,24.38
troy-mi,,,33.64,30.62,28.38,24.5,30.5,35.5,44.25,42.5
tulsa-ok-southern-hills,,,21.78,23.62,17.25,21.5,23.5,24.75,21.25,20.12
tylersouthtx,,,54.43,50.62,49.38,59.75,53.62,53.5,58.62,55.5
virginia-beach-va-courthouse,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
warnerrobinsga,,,37.76,33.5,34.0,39.25,36.7,38.88,42.75,39.5
west-bloomfield-mi,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
westmidtownga,,,35.33,30.5,28.88,32.75,34.2,36.25,45.75,39.25
westminster-co,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
white-marsh-baltimore-md,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
wilmingtonde,,,52.24,49.12,51.0,51.88,53.6,53.62,56.88,49.25
woodlands-houston-tx,,,33.93,28.38,32.5,33.88,33.12,33.88,39.75,36.0
woodstock-ga,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
woosteroh,,,44.03,40.62,41.25,42.38,40.3,48.5,52.25,43.88
yardley-pa,,,40.74,45.25,38.25,41.38,30.4,45.88,41.62,45.0
york-pa,,,56.59,56.0,45.5,51.12,62.2,60.88,65.38,53.62
